,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
1108,deep fake,Track time,150,Text length,5000,Duration,15,50,151,15,300,0.6913010567061251,0.5914862982268067,23.52760802826692,0.813653223269623,0.7608234505940931,22.206984626748632
1109,deep fake,Track time,150,Text length,5000,Duration,20,28,151,15,300,0.6880177918087853,0.5976572877501504,23.77556241449314,0.8127470691399062,0.7702171475334695,22.698145796315185
1110,deep fake,Track time,150,Text length,5000,Duration,25,18,151,15,300,0.6736863688579469,0.5777725059202123,24.130866414375443,0.8072086777254404,0.7593958339888316,23.07761095236239
1111,deep fake,Track time,150,Text length,5000,Duration,30,14,151,15,300,0.6744907193675418,0.5780362934734242,24.07319985068479,0.8070097184100717,0.7582872720184936,23.047253739878606
1112,deep fake,Track time,150,Text length,5000,Duration,40,9,151,15,300,0.6708059449335204,0.5818131161386856,24.233512575944808,0.8034913365794077,0.7618450449427394,23.219910385880084
1113,deep fake,Track time,150,Text length,5000,Duration,50,5,151,15,300,0.665435597041028,0.584503410488631,24.333165997322627,0.8004324326057448,0.7675035461859545,23.28631678818835
1114,deep fake,Track time,150,Text length,5000,Duration,75,3,151,15,300,0.6666698587887028,0.5819024318393631,24.43081621357224,0.8013494156980491,0.7656395071442582,23.419129592804875
1115,deep fake,Track time,150,Text length,5000,Duration,100,3,151,15,300,0.6666698587887028,0.5819024318393631,24.43081621357224,0.8013494156980491,0.7656395071442582,23.419129592804875
1116,deep fake,Track time,150,Text length,5000,Duration,125,2,151,15,300,0.6666698587887028,0.5819024318393631,24.43081621357224,0.8013494156980491,0.7656395071442582,23.419129592804875
1117,deep fake,Track time,150,Text length,5000,Duration,150,1,151,15,300,0.6666698587887028,0.5819024318393631,24.43081621357224,0.8013494156980491,0.7656395071442582,23.419129592804875
1118,deep fake,Track time,150,Text length,7500,Duration,0,532,75,15,300,0.6371167082964206,0.509975198757276,25.080531678101387,0.782783693065637,0.6920248684707516,23.943563136525754
1119,deep fake,Track time,150,Text length,7500,Duration,5,210,75,15,300,0.6566261236693544,0.5371845542736101,24.439190496289246,0.7888336588266652,0.7119269360826731,23.11965527395628
1120,deep fake,Track time,150,Text length,7500,Duration,10,110,75,15,300,0.629582972591756,0.4973325301730703,24.92542902045165,0.7736950751811644,0.6765061002981175,23.51662224020878
1121,deep fake,Track time,150,Text length,7500,Duration,15,50,75,15,300,0.6085039808890319,0.4774491766065043,25.596375014502854,0.7631709987118299,0.6560647228057485,24.27618284057463
1122,deep fake,Track time,150,Text length,7500,Duration,20,28,75,15,300,0.5981906179468433,0.4763232649380344,25.853333443831183,0.7573694448279493,0.6588491759343672,24.73365298322466
1123,deep fake,Track time,150,Text length,7500,Duration,25,18,75,15,300,0.5789883463390015,0.4531444155950785,26.13354217426616,0.7445934979844845,0.6377860831589875,25.075686734738717
1124,deep fake,Track time,150,Text length,7500,Duration,30,14,75,15,300,0.5812926972846171,0.4547931809726573,26.056580423096257,0.7469002922900535,0.6400435779702359,25.0483240346176
1125,deep fake,Track time,150,Text length,7500,Duration,40,9,75,15,300,0.5772686954889356,0.4588228415730643,26.192822543218476,0.7409857153727945,0.641987230594584,25.20394939155649
1126,deep fake,Track time,150,Text length,7500,Duration,50,5,75,15,300,0.5721691847030937,0.4629696873230217,26.260514560853935,0.7376463431644519,0.6493317709496946,25.263805298071443
1127,deep fake,Track time,150,Text length,7500,Duration,75,3,75,15,300,0.5725037932444383,0.45874161788203954,26.37066365007542,0.7384830541847237,0.6461464335431455,25.383517111101362
1128,deep fake,Track time,150,Text length,7500,Duration,100,3,75,15,300,0.5725037932444383,0.45874161788203954,26.37066365007542,0.7384830541847237,0.6461464335431455,25.383517111101362
1129,deep fake,Track time,150,Text length,7500,Duration,125,2,75,15,300,0.5725037932444383,0.45874161788203954,26.37066365007542,0.7384830541847237,0.6461464335431455,25.383517111101362
1130,deep fake,Track time,150,Text length,7500,Duration,150,1,75,15,300,0.5725037932444383,0.45874161788203954,26.37066365007542,0.7384830541847237,0.6461464335431455,25.383517111101362
1131,deep fake,Track time,150,Text length,10000,Duration,0,532,39,15,300,0.5452325831804001,0.3913361547149972,26.934171015748667,0.7266343056310525,0.5998204481712477,25.583142492338684
1132,deep fake,Track time,150,Text length,10000,Duration,5,210,39,15,300,0.5820964319948426,0.43679881750586563,26.03535707543703,0.7458400170997495,0.6419844373925256,24.6037794504583
1133,deep fake,Track time,150,Text length,10000,Duration,10,110,39,15,300,0.5326245812069417,0.3749509727536187,26.75309141427005,0.7137372611432262,0.5808367681559444,25.26071588500584
1134,deep fake,Track time,150,Text length,10000,Duration,15,50,39,15,300,0.4981266749313416,0.34401373951995456,27.5444827247061,0.6874254724910158,0.5386545272285571,26.044950943548088
1135,deep fake,Track time,150,Text length,10000,Duration,20,28,39,15,300,0.48425826614558753,0.34287128579233195,27.87014767723251,0.6730024427429745,0.5362625118452325,26.592428749643723
