,Term,Filter 1,Threshold 1,Filter 2,Threshold 2,Filter 3,Threshold 3,Number of videos,Number of news,Number of podcasts,Number of apps,Cosine,Pearson,Euclidean,Cosine_with_mean,Pearson_with_mean,Euclidean_with_mean
81,social media,Track time,0,Text length,7500,Duration,15,131,154,972,209,0.7762221483147874,0.3801928859726812,31.337440682988216,0.8662991670752708,0.5614696153740809,28.751276100410355
82,social media,Track time,0,Text length,7500,Duration,20,95,154,972,209,0.7681204001042902,0.3741597739127602,31.66271818838916,0.862246247150135,0.552722216698618,28.747212332141117
83,social media,Track time,0,Text length,7500,Duration,25,74,154,972,209,0.7594995287672816,0.35474432605790196,32.11371902785285,0.8599800434436443,0.5355469417378049,29.06281923973558
84,social media,Track time,0,Text length,7500,Duration,30,58,154,972,209,0.756212602820162,0.34952135659368194,32.38456969650859,0.8613481966835564,0.5344554343769844,29.668184177366253
85,social media,Track time,0,Text length,7500,Duration,40,40,154,972,209,0.7523180844895113,0.33738966121661196,32.64401795708856,0.8583490605958731,0.5183295992726735,29.86229122560663
86,social media,Track time,0,Text length,7500,Duration,50,28,154,972,209,0.7284917713422165,0.3250558796333322,34.976606976699884,0.8432743032211701,0.515611550528496,32.87729533359649
87,social media,Track time,0,Text length,7500,Duration,75,11,154,972,209,0.6980128004119053,0.27736449037830413,36.14680446796224,0.8341448116649841,0.4706982372665208,33.01309602343778
88,social media,Track time,0,Text length,7500,Duration,100,8,154,972,209,0.7027384676609236,0.29923737418766416,36.19542034533584,0.8361340146303682,0.48950431073527984,33.675196326010145
89,social media,Track time,0,Text length,7500,Duration,125,5,154,972,209,0.7132753578438141,0.303921477258882,36.36398208903582,0.8460250515101043,0.4964710940538135,34.10177219121174
90,social media,Track time,0,Text length,7500,Duration,150,4,154,972,209,0.7182182377446944,0.2987868296797251,36.445925140265075,0.8541149402801148,0.4982651689472495,34.463267749980595
91,social media,Track time,0,Text length,10000,Duration,0,503,79,972,209,0.7118107128993652,0.3187458504723792,35.68530417414911,0.8478027115690467,0.5243224408453403,33.357885661436036
92,social media,Track time,0,Text length,10000,Duration,5,323,79,972,209,0.7248570946949859,0.32704503837014476,35.12313626335726,0.8558215736569054,0.5348753090883706,32.94784971175564
